season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Jason Doyle,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Robert Lambert,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Maciej Janowski,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Martin Vaculik,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Bartosz Zmarzlik,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Jan Kvěch,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Tai Woffinden,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Anders Thomsen,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Oliver Berntzon,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Matej Žagar,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Emil Sajfutdinow,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Fredrik Lindgren,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Bartosz Zmarzlik,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Leon Madsen,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Maciej Janowski,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Tai Woffinden,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Artiom Łaguta,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Max Fricke,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Maciej Janowski,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Emil Sajfutdinow,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Tai Woffinden,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Martin Vaculik,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Fredrik Lindgren,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Robert Lambert,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Anders Thomsen,0,d,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Artiom Łaguta,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Leon Madsen,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Max Fricke,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Jan Kvěch,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Maciej Janowski,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Bartosz Zmarzlik,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Krzysztof Kasprzak,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Oliver Berntzon,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Jason Doyle,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Emil Sajfutdinow,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Matej Žagar,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Tai Woffinden,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Emil Sajfutdinow,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Max Fricke,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Robert Lambert,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Oliver Berntzon,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Maciej Janowski,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Tai Woffinden,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Jan Kvěch,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Fredrik Lindgren,0,4,4
